000001.SZ,平安银行,
时间,卖1价,买1价
Time,ask1,bid1
2019-04-29 09:57:48,14.000,13.990
2019-04-29 09:57:51,14.000,13.990
2019-04-29 09:57:54,14.000,13.990
2019-04-29 09:57:57,14.000,13.990
2019-04-29 09:58:00,14.010,14.000
2019-04-29 09:58:03,14.010,14.000
2019-04-29 09:58:06,14.010,14.000
2019-04-29 09:58:09,14.010,14.000
2019-04-29 09:58:12,14.010,14.000
2019-04-29 09:58:15,14.010,14.000
2019-04-29 09:58:18,14.020,14.010
2019-04-29 09:58:21,14.030,14.020
2019-04-29 09:58:24,14.030,14.020
2019-04-29 09:58:27,14.040,14.010
2019-04-29 09:58:30,14.020,14.010
2019-04-29 09:58:33,14.020,14.010
2019-04-29 09:58:36,14.020,14.010
2019-04-29 09:58:39,14.020,14.010
2019-04-29 09:58:42,14.020,14.010
2019-04-29 09:58:45,14.030,14.020
2019-04-29 09:58:48,14.010,14.000
2019-04-29 09:58:51,14.020,14.010
2019-04-29 09:58:54,14.010,14.000
2019-04-29 09:58:57,14.010,14.000
2019-04-29 09:59:00,14.010,14.000
2019-04-29 09:59:03,14.010,14.000
2019-04-29 09:59:06,14.010,14.000
2019-04-29 09:59:09,14.010,14.000
2019-04-29 09:59:12,14.000,13.990
2019-04-29 09:59:15,14.000,13.990
2019-04-29 09:59:18,13.990,13.980
2019-04-29 09:59:21,14.000,13.980
2019-04-29 09:59:24,14.000,13.980
2019-04-29 09:59:27,13.980,13.970
